"Ministry","City/country","Name","Address","Latitude","Longitude"
"Ministry of Transportation and Communications","Taipei City","Taipei World Trade Center Post Office","No.5, Sec. 5, Sinyi Rd., Sinyi Dist., Taipei 110-11, Taiwan (R.O.C.)","25.033729","121.56224"
"Ministry of Finance","Taipei City","Shih Mao Branch, Hua Nan commercial Bank","No.458, Sec.4, Hsin Yi Rd., Taipei City, Taiwan (R.O.C.)","25.033467","121.558721"
"Ministry of Finance","Taipei City","FirstBank_Songmao","No.18, Sec.5, Xinyi Rd., Xinyi Dist., Taipei City 11049, Taiwan (R.O.C)","25.032645","121.563652"
"Ministry of Finance","Taipei City","Mega International Commercial Bankd Co.,Ltd. World Trade Center Branch","No.333, Sec.1, Keelung Rd., Taipei City 11012, Taiwan (R.O.C.)","25.034363","121.561098"
"Ministry of Finance","Taipei City","Mega International Commercial Bankd Co.,Ltd. Hsin Yi Branch","No.65, Sec.2, Keelung Rd., Taipei City 11052, Taiwan (R.O.C.)","25.030793","121.558362"
"Ministry of Finance","Taipei City","Chang Hwa Bank,Guanglong Branch","1F., No.78, Sec. 2, Keelung Rd., Xinyi Dist., Taipei City 11052, Taiwan (R.O.C.)","25.030561","121.557791"
"Ministry of Finance","Taipei City","Chang Hwa Bank,Taipei World Trade C","3F., No.333, Sec. 1, Keelung Rd., Xinyi Dist., Taipei City 11012, Taiwan (R.O.C.)","25.034427","121.560814"
"Ministry of Finance","Taipei City","Hsinyi Branch of Land Bank","1F., No.436, Sec. 1, Keelung Rd., Sinyi District, Taipei City 11051, Taiwan (R.O.C.)","25.033681","121.559495"
"Ministry of Finance","Taipei City","FirstBank_Guanglong","No.82, Sec.2, Jilong Rd., Xinyi Dist., Taipei City 11052, Taiwan (R.O.C.)","25.030494","121.557771"
"Ministry of Transportation and Communications","Taipei City","Taipei City Government Post Office","B 2, No. 1, Shihfu Rd., Sinyi Dist., Taipei 110-08, Taiwan (R.O.C.)","25.0359187","121.5636234"
"Ministry of Finance","Taipei City","Bank of Taiwan Sung Shan Branch.","No.560, Sec. 4, Zhongxiao E. Rd., Xinyi Dist., Taipei City 110, Taiwan (R.O.C.)","25.04083","121.563849"
"Ministry of Finance","Taipei City","Chang Hwa Bank,Yung-Chun Branch","No.1-2, Sec. 5, Zhongxiao E. Rd., Xinyi Dist., Taipei City 11071, Taiwan (R.O.C.)","25.041433","121.564936"
"Veterans Affairs Council, R.O.C.","Taipei City","Veterans Affairs Council, R.O.C., Executive Yuan, R.O.C.","No.222, Sec. 5, Zhongxiao E. Rd., Xinyi District, Taipei City, Taiwan (R.O.C.), 110.","25.0406869","121.571517"
"Ministry of Finance","Taipei City","Nan Sung Shan Branch, Hua Nan Commercial Bank","No.293, Sec.5, Chung-hsiao East Rd.,Taipei City, Taiwan (R.O.C.)","25.041535","121.57239"
"Ministry of Transportation and Communications","Taipei City","Taipei Yongchun Post Office","No.464, Sec. 5, Jhongsiao E. Rd., Sinyi Dist., Taipei 110-61, Taiwan (R.O.C.)","25.040661","121.576702"
"Ministry of Finance","Taipei City","Yongji Branch, Hua Nan commercial Bank","No.800, Sec.5, Zhongxiao E. Rd., Taipei City, Taiwan (R.O.C.)","25.044315","121.58211"
"Ministry of Finance","Taipei City","Fiscal Information Agency, Ministry of Finance","1F., No.547, Sec. 4, Jhongsiao E. Rd., Sinyi District, Taipei City 110-02, Taiwan (R.O.C.)","25.041807","121.561811"
"Ministry of Finance","Taipei City","Mega International Commercial Bankd Co.,Ltd. Taipei Branch","No.550, Sec.4, Chung-hsiao E. Rd., Taipei City 11071, Taiwan (R.O.C.)","25.040954","121.56305"
